Time,LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING-UNIT::Des Latent Heat Load [W],LIVING-UNIT::Des Latent Cool Load [W],LIVING-UNIT::Des Latent Heat Mass Flow [kg/s],LIVING-UNIT::Des Latent Cool Mass Flow [kg/s],LIVING-UNIT::Des Heat Load No DOAS [W],LIVING-UNIT::Des Sens Cool Load No DOAS [W],LIVING-UNIT::Des Latent Heat Load No DOAS [W],LIVING-UNIT::Des Latent Cool Load No DOAS [W],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
20:00:00,5.497433E+03,0.000000E+00,3.544994E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.357700E+01,2.357276E+01
20:30:00,5.497625E+03,0.000000E+00,3.545118E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.339583E+01,2.379194E+01
21:00:00,5.497814E+03,0.000000E+00,3.545240E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.316367E+01,2.407442E+01
21:30:00,5.498001E+03,0.000000E+00,3.545360E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.295594E+01,2.432920E+01
22:00:00,5.498185E+03,0.000000E+00,3.545479E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.281760E+01,2.450198E+01
22:30:00,5.498366E+03,0.000000E+00,3.545596E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.261262E+01,2.475985E+01
23:00:00,5.498544E+03,0.000000E+00,3.545711E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.242411E+01,2.499846E+01
23:30:00,5.498720E+03,0.000000E+00,3.545824E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.224656E+01,2.522601E+01
24:00:00,5.498894E+03,0.000000E+00,3.545936E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.206328E+01,2.546415E+01
Peak,5.498894E+03,0.000000E+00,3.545936E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,,,,

Peak Vol Flow (m3/s),,,2.983783E-01,0.000000E+00,,,0.000000E+00,0.000000E+00,,,,,,,,
