Date/Time,HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Electricity Rate [W](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Water Volume Flow Rate [m3/s](Hourly) 
 06/22  23:00:00,48.8888888888889,59.88383364408339,59.88383364408339,59.88383364408339,0.0,0.0 
 06/22  24:00:00,48.8888888888889,59.698607384072226,59.698607384072226,59.698607384072226,0.0,0.0 
 06/23  01:00:00,48.8888888888889,59.51424893840514,59.51424893840514,59.51424893840514,0.0,0.0 
 06/23  02:00:00,48.8888888888889,59.33075460519361,59.33075460519361,59.33075460519361,0.0,0.0 
 06/23  03:00:00,48.8888888888889,59.14812020356108,59.14812020356108,59.14812020356108,0.0,0.0 
 06/23  04:00:00,48.8888888888889,58.96634157412027,58.96634157412027,58.96634157412027,0.0,0.0 
 06/23  05:00:00,48.8888888888889,58.785414578821374,58.785414578821374,58.785414578821374,0.0,0.0 
 06/23  06:00:00,48.8888888888889,58.60533510084134,58.60533510084134,58.60533510084134,0.0,0.0 
 06/23  07:00:00,48.8888888888889,58.42609912155909,58.42609912155909,58.42609912155909,0.0,0.0 
 06/23  08:00:00,48.88888888888889,58.24770313135004,58.24770313135004,58.24770313135004,0.0,0.0 
 06/23  09:00:00,48.88888888888889,58.170124543852445,58.99939423181957,58.170124543852445,0.0,0.0 
 06/23  10:00:00,48.88888888888889,59.88184629064935,60.71148018643137,59.88184629064935,0.0,0.0 
 06/23  11:00:00,48.8888888888889,59.752539411367884,59.752539411367884,59.752539411367884,0.0,0.0 
 06/23  12:00:00,48.8888888888889,59.5679289620963,59.5679289620963,59.5679289620963,0.0,0.0 
 06/23  13:00:00,48.8888888888889,59.384183173734975,59.384183173734975,59.384183173734975,0.0,0.0 
 06/23  14:00:00,48.8888888888889,59.20129839692946,59.20129839692946,59.20129839692946,0.0,0.0 
 06/23  15:00:00,48.8888888888889,59.01927060329737,59.01927060329737,59.01927060329737,0.0,0.0 
 06/23  16:00:00,48.8888888888889,58.838095648473484,58.838095648473484,58.838095648473484,0.0,0.0 
 06/23  17:00:00,48.8888888888889,58.6577694094152,58.6577694094152,58.6577694094152,0.0,0.0 
 06/23  18:00:00,48.8888888888889,58.478287861652916,58.478287861652916,58.478287861652916,0.0,0.0 
 06/23  19:00:00,48.8888888888889,58.299647461697006,58.299647461697006,58.299647461697006,0.0,0.0 
 06/23  20:00:00,48.8888888888889,58.1218436527019,58.1218436527019,58.1218436527019,0.0,0.0 
 06/23  21:00:00,48.8888888888889,59.43712652276746,61.303609252348636,59.43712652276746,0.0,0.0 
 06/23  22:00:00,48.8888888888889,59.8142721218435,59.8142721218435,59.8142721218435,0.0,0.0 
 06/23  23:00:00,48.8888888888889,59.6293723537416,59.6293723537416,59.6293723537416,0.0,0.0 
 06/23  24:00:00,48.8888888888889,59.445339309625375,59.445339309625375,59.445339309625375,0.0,0.0 
 06/24  01:00:00,48.8888888888889,59.26216859357465,59.26216859357465,59.26216859357465,0.0,0.0 
 06/24  02:00:00,48.8888888888889,59.07985562169645,59.07985562169645,59.07985562169645,0.0,0.0 
 06/24  03:00:00,48.8888888888889,58.898396827250146,58.898396827250146,58.898396827250146,0.0,0.0 
 06/24  04:00:00,48.8888888888889,58.71778812071065,58.71778812071065,58.71778812071065,0.0,0.0 
 06/24  05:00:00,48.8888888888889,58.538025393182835,58.538025393182835,58.538025393182835,0.0,0.0 
 06/24  06:00:00,48.8888888888889,58.359104556750495,58.359104556750495,58.359104556750495,0.0,0.0 
 06/24  07:00:00,48.8888888888889,58.18102190068616,58.18102190068616,58.18102190068616,0.0,0.0 
 06/24  08:00:00,48.88888888888889,58.73180670593014,60.39121092090872,58.73180670593014,0.0,0.0 
 06/24  09:00:00,48.88888888888889,59.87609587626352,59.87609587626352,59.87609587626352,0.0,0.0 
 06/24  10:00:00,48.88888888888889,59.69090657206601,59.69090657206601,59.69090657206601,0.0,0.0 
 06/24  11:00:00,48.88888888888889,59.50658539059188,59.50658539059188,59.50658539059188,0.0,0.0 
 06/24  12:00:00,48.8888888888889,59.32312812395369,59.32312812395369,59.32312812395369,0.0,0.0 
 06/24  13:00:00,48.8888888888889,59.14053040729953,59.14053040729953,59.14053040729953,0.0,0.0 
 06/24  14:00:00,48.8888888888889,58.95878810986616,58.95878810986616,58.95878810986616,0.0,0.0 
 06/24  15:00:00,48.8888888888889,58.77789663209564,58.77789663209564,58.77789663209564,0.0,0.0 
 06/24  16:00:00,48.8888888888889,58.59785236768062,58.59785236768062,58.59785236768062,0.0,0.0 
 06/24  17:00:00,48.8888888888889,58.41865135464726,58.41865135464726,58.41865135464726,0.0,0.0 
 06/24  18:00:00,48.8888888888889,58.240289876412696,58.240289876412696,58.240289876412696,0.0,0.0 
 06/24  19:00:00,48.8888888888889,58.28776667868747,59.532106565239204,58.28776667868747,0.0,0.0 
 06/24  20:00:00,48.88888888888889,59.91247019366096,60.327471349510624,59.91247019366096,0.0,0.0 
 06/24  21:00:00,48.8888888888889,59.73712224887886,59.73712224887886,59.73712224887886,0.0,0.0 
